period_end,period_key,frequency,period_start,period_n_obs,period_is_partial,dce_corn_close,target_date_fwd,target_price_fwd,target_return_fwd,target_direction_fwd,factor_price_momentum,factor_basis_tightness,factor_processing_demand,factor_market_activity,factor_external_support,factor_weather_anomaly,factor_supply_pressure,factor_risk_volatility,factor_price_momentum_coverage,factor_basis_tightness_coverage,factor_processing_demand_coverage,factor_market_activity_coverage,factor_external_support_coverage,factor_weather_anomaly_coverage,factor_supply_pressure_coverage,factor_risk_volatility_coverage,factor_harvest_pressure,seasonal_sin,seasonal_cos
2017-09-01,2017-W35,weekly,2017-08-28,5,0,1690,2017-09-08,1687,-0.0017751479,0,-0.6372481375,0.2937506894,-0.687668864,-0.7795786721,0.4551287229,0.4619544254,0,-0.1991176144,1,1,1,1,1,1,0,1,0.2,-0.8854560257,-0.464723172
2017-09-08,2017-W36,weekly,2017-09-04,5,0,1687,2017-09-15,1691,0.0023710729,1,-0.7271768683,-0.5045853592,-0.2431801722,-0.765981399,-0.5440932859,0.4080850358,0,-0.8715480192,1,1,1,1,1,1,0,1,1,-0.9350162427,-0.354604887
2017-09-15,2017-W37,weekly,2017-09-11,5,0,1691,2017-09-22,1716,0.0147841514,1,-0.5586871989,-0.0988702969,-0.8693709383,-0.8807261829,0.2019575187,0.4331463952,0,-0.830790771,1,1,1,1,1,1,0,1,1,-0.9709418174,-0.2393156643
2017-09-22,2017-W38,weekly,2017-09-18,5,0,1716,2017-09-29,1693,-0.0134032634,0,-0.1393675499,-0.5939248983,-0.3263405231,-0.7759205614,-0.0731217462,0.3393138684,0,-0.3865299728,1,1,1,1,1,1,0,1,1,-0.9927088741,-0.1205366803
2017-09-29,2017-W39,weekly,2017-09-25,5,0,1693,2017-10-13,1677,-0.0094506793,0,-0.5705875148,0.036308708,-0.5951066324,-1.2494318158,-0.3052713512,0.2734352059,0,-0.4329847678,1,1,1,1,1,1,0,1,1,-1,0
2017-10-13,2017-W41,weekly,2017-10-09,5,0,1677,2017-10-20,1668,-0.0053667263,0,-0.7422465286,-0.055209352,-0.7679525444,-1.1218611286,-0.4991676246,0.371303802,0,-0.4826971293,1,1,1,1,1,1,0,1,1,-0.9709418174,0.2393156643
2017-10-20,2017-W42,weekly,2017-10-16,5,0,1668,2017-10-27,1665,-0.0017985612,0,-0.7810014488,-0.0545813139,-0.4419735354,-0.7072955022,-0.8830467119,0.419332381,0,-0.577586101,1,1,1,1,1,1,0,1,1,-0.9350162427,0.354604887
2017-10-27,2017-W43,weekly,2017-10-23,5,0,1665,2017-11-03,1673,0.0048048048,1,-0.7697936012,-0.0445655478,-0.2573194479,-0.9917861958,-0.2278805428,0.3945309511,0,-0.8721129797,1,1,1,1,1,1,0,1,1,-0.8854560257,0.464723172
2017-11-03,2017-W44,weekly,2017-10-30,5,0,1673,2017-11-10,1685,0.0071727436,1,-0.4565390737,-0.4920080932,0.1641195285,-0.8820624323,-0.2549634113,0.5434322238,0,-0.7688273305,1,1,1,1,1,1,0,1,1,-0.8229838659,0.5680647467
2017-11-10,2017-W45,weekly,2017-11-06,5,0,1685,2017-11-17,1677,-0.0047477745,0,-0.3345258034,-0.4493758364,1.5026754987,-1.0037320696,-0.1516731043,0.3754939638,0,-0.8529115105,1,1,1,1,1,1,0,1,1,-0.7485107482,0.6631226582
2017-11-17,2017-W46,weekly,2017-11-13,5,0,1677,2017-11-24,1699,0.0131186643,1,-0.5427175513,-0.4256952048,1.0129054299,-1.0556525381,-0.0648732201,0.7636087212,0,-0.9051096073,1,1,1,1,1,1,0,1,1,-0.6631226582,0.7485107482
2017-11-24,2017-W47,weekly,2017-11-20,5,0,1699,2017-12-01,1708,0.0052972337,1,-0.0289042875,-0.7485820441,0.1593218496,-1.4730373224,-0.2554613059,0.8770160916,0,-0.605678336,1,1,1,1,1,1,0,1,1,-0.5680647467,0.8229838659
2017-12-01,2017-W48,weekly,2017-11-27,5,0,1708,2017-12-08,1774,0.0386416862,1,0.0904442626,-0.3790384301,0.1745283492,-1.7088038567,0.9587424891,0.945903227,0,-0.8312358581,1,1,1,1,1,1,0,1,0.8,-0.464723172,0.8854560257
2017-12-08,2017-W49,weekly,2017-12-04,5,0,1774,2017-12-15,1792,0.0101465614,1,1.2613997574,-0.9681037258,-0.7725491602,-0.0909798102,-0.7590453867,1.0276828153,0,0.4796299412,1,1,1,1,1,1,0,1,0,-0.354604887,0.9350162427
2017-12-15,2017-W50,weekly,2017-12-11,5,0,1792,2017-12-22,1823,0.0172991071,1,1.024735583,-0.6044231982,-0.4902550097,-0.3996251749,-0.314539441,1.1297230529,0,-0.3085935239,1,1,1,1,1,1,0,1,0,-0.2393156643,0.9709418174
2017-12-22,2017-W51,weekly,2017-12-18,5,0,1823,2017-12-29,1816,-0.0038398245,0,1.2213927408,-0.8616290175,-0.4162099898,-0.0442035718,0.1585599188,0.9547053489,0,-0.135016081,1,1,1,1,1,1,0,1,0,-0.1205366803,0.9927088741
2017-12-29,2017-W52,weekly,2017-12-25,5,0,1816,2018-01-05,1853,0.0203744493,1,0.7339689074,-0.1092664887,-0.5526380359,-0.7900766244,-0.0888945849,1.0897055766,0,-0.404257947,1,1,1,1,1,1,0,1,0,0,1
2018-01-05,2018-W01,weekly,2018-01-02,4,0,1853,2018-01-12,1827,-0.0140313006,0,1.1793908994,-1.1453881679,-0.8319038271,-0.4553918779,0.078982743,1.007461948,0,-0.2159540858,1,1,1,1,1,1,0,1,0,0.1205366803,0.9927088741
2018-01-12,2018-W02,weekly,2018-01-08,5,0,1827,2018-01-19,1801,-0.0142309797,0,0.3543440342,0.2139876166,-0.5448075528,-0.5932066556,-0.300879622,0.9103888211,0,-0.1592534302,1,1,1,1,1,1,0,1,0,0.2393156643,0.9709418174
2018-01-19,2018-W03,weekly,2018-01-15,5,0,1801,2018-01-26,1796,-0.0027762354,0,-0.1263309606,0.1113739031,-0.5287538665,-0.665345675,0.1534628665,0.8532202625,0,-0.1180282031,1,1,1,1,1,1,0,1,0,0.354604887,0.9350162427
2018-01-26,2018-W04,weekly,2018-01-22,5,0,1796,2018-02-02,1804,0.004454343,1,-0.1364442247,-0.1616589335,-0.6955040178,-1.0326987418,0.6522504989,1.289506497,0,-0.3885269314,1,1,1,1,1,1,0,1,0,0.464723172,0.8854560257
2018-02-02,2018-W05,weekly,2018-01-29,5,0,1804,2018-02-09,1824,0.0110864745,1,-0.003356548,-0.3567279318,-0.20714616,-1.0183920771,0.5491172848,0.9806125562,0,-0.5536483927,1,1,1,1,1,1,0,1,0,0.5680647467,0.8229838659
2018-02-09,2018-W06,weekly,2018-02-05,5,0,1824,2018-02-14,1812,-0.0065789474,0,0.3872997879,-0.4111954816,-0.3230653955,-0.7661047038,0.4323505843,0.9426222808,0,-0.3474524676,1,1,1,1,1,1,0,1,0,0.6631226582,0.7485107482
2018-02-14,2018-W07,weekly,2018-02-12,3,0,1812,2018-02-23,1813,0.0005518764,1,-0.1059463333,-0.1203528526,-0.3597317361,-1.4397396673,0.6692475581,0.871881237,0,-0.5317322106,1,1,1,1,1,1,0,1,0,0.7485107482,0.6631226582
2018-02-23,2018-W08,weekly,2018-02-22,2,0,1813,2018-03-02,1840,0.0148924435,1,-0.0913297508,-0.2907306529,-0.2297344647,-1.2300242755,0.0801311062,0.7346176955,0,-0.6876433899,1,1,1,1,1,1,0,1,0,0.8229838659,0.5680647467
2018-03-02,2018-W09,weekly,2018-02-26,5,0,1840,2018-03-09,1832,-0.0043478261,0,0.2418267593,-0.4980262835,-0.3735839912,0.2973004589,2.1348550636,0.493525692,0,-0.3927510003,1,1,1,1,1,1,0,1,0,0.8854560257,0.464723172
2018-03-09,2018-W10,weekly,2018-03-05,5,0,1832,2018-03-16,1770,-0.0338427948,0,-0.1073020336,-0.2253162959,0.2312544784,-0.7434161936,0.7757230318,0.7589884067,0,-0.6595162265,1,1,1,1,1,1,0,1,0,0.9350162427,0.354604887
2018-03-16,2018-W11,weekly,2018-03-12,5,0,1770,2018-03-23,1751,-0.0107344633,0,-1.3182356335,1.1388488019,0.7026418043,-1.1606821064,-0.1520895074,0.3093736949,0,0.522310747,1,1,1,1,1,1,0,1,0,0.9709418174,0.2393156643
2018-03-23,2018-W12,weekly,2018-03-19,5,0,1751,2018-03-30,1744,-0.0039977156,0,-1.2909479248,0.553232897,0.6750879256,-0.6030882979,0.0235671041,0.3918680674,0,-0.0655533354,1,1,1,1,1,1,0,1,0,0.9927088741,0.1205366803
2018-03-30,2018-W13,weekly,2018-03-26,5,0,1744,2018-04-04,1760,0.0091743119,1,-1.352267965,0.2532976261,1.1867808268,-0.4672020653,0.301704246,0.3668066485,0,-0.4936674377,1,1,1,1,1,1,0,1,0,1,0
2018-04-04,2018-W14,weekly,2018-04-02,3,0,1760,2018-04-13,1748,-0.0068181818,0,-0.7090211956,-0.2070529488,0.7323771289,-0.516336245,0.1567172338,0.2596587757,0,-0.2301083645,1,1,1,1,1,1,0,1,0,0.9927088741,-0.1205366803
2018-04-13,2018-W15,weekly,2018-04-09,5,0,1748,2018-04-20,1742,-0.0034324943,0,-0.7350918647,0.2304645988,0.7047144917,-0.6286783577,0.8525892368,0.1287677244,0,-0.5921233015,1,1,1,1,1,1,0,1,0,0.9709418174,-0.2393156643
2018-04-20,2018-W16,weekly,2018-04-16,5,0,1742,2018-04-27,1731,-0.0063145809,0,-0.6837544647,-0.1481292518,0.828705754,-0.8212595044,-0.1342519114,0.4946980109,0,-0.719875598,1,1,1,1,1,1,0,1,0,0.9350162427,-0.354604887
2018-04-27,2018-W17,weekly,2018-04-23,5,0,1731,2018-05-04,1744,0.0075101098,1,-0.8309025329,0.6155947097,1.0325356212,-0.8307528268,1.4235123293,0.5336969761,0,-0.6351441537,1,1,1,1,1,1,0,1,0,0.8854560257,-0.464723172
2018-05-04,2018-W18,weekly,2018-05-02,3,0,1744,2018-05-11,1754,0.005733945,1,-0.539747465,-0.011113413,1.0445101819,-1.0515804502,1.6767297478,0.4669932961,0,-0.6385737157,1,1,1,1,1,1,0,1,0,0.8229838659,-0.5680647467
2018-05-11,2018-W19,weekly,2018-05-07,5,0,1754,2018-05-18,1772,0.0102622577,1,-0.3486092607,0.0965012047,1.0312325222,-0.930190826,-0.1452848648,0.584946915,0,-0.6658749216,1,1,1,1,1,1,0,1,0,0.7485107482,-0.6631226582
2018-05-18,2018-W20,weekly,2018-05-14,5,0,1772,2018-05-25,1779,0.0039503386,1,-0.0079904757,-0.5083300665,1.1343406492,-0.6350746414,1.130095964,0.6632413353,0,-0.5061106488,1,1,1,1,1,1,0,1,0,0.6631226582,-0.7485107482
2018-05-25,2018-W21,weekly,2018-05-21,5,0,1779,2018-06-01,1768,-0.006183249,0,-0.0759169962,-0.1966904711,1.3799853073,-0.4585768004,1.2381960644,0.4718946349,0,-0.8470318594,1,1,1,1,1,1,0,1,0,0.5680647467,-0.8229838659
2018-06-01,2018-W22,weekly,2018-05-28,5,0,1768,2018-06-08,1755,-0.0073529412,0,-0.4082317818,0.0342462974,1.1453374717,-0.7152609601,-0.2014138944,0.8473029575,0,-0.6475887632,1,1,1,1,1,1,0,1,0,0.464723172,-0.8854560257
2018-06-08,2018-W23,weekly,2018-06-04,5,0,1755,2018-06-15,1760,0.0028490028,1,-0.6808921623,-0.0395478309,0.7285625518,-1.2937909916,0.2847441237,0.6101113524,0,-0.7579190895,1,1,1,1,1,1,0,1,0,0.354604887,-0.9350162427
